"Universal Analytics tag","Universal Analytics tag"
"Create variables (Universal Analytics)","Create variables (Universal Analytics)"
"Create triggers (Universal Analytics)","Create triggers (Universal Analytics)"
"Create tags (Universal Analytics)","Create tags (Universal Analytics)"
"Select Container ID to configure. Dropdown will populate automatically once Account ID is set.","Select Container ID to configure. Dropdown will populate automatically once Account ID is set."
"Log is empty","Log is empty"
"New products List","New products List"
"New products","New products"
"Homepage Product List","Homepage Product List"
"Search results","Search results"
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Consent deleted successfully","Consent deleted successfully"
"Error while trying to delete consent: ","Error while trying to delete consent: "
"A total of %1 consent(s) have been deleted.","A total of %1 consent(s) have been deleted."
"Log deleted successfully","Log deleted successfully"
"Error while trying to delete Log: ","Error while trying to delete Log: "
"A total of %1 Log(s) have been deleted.","A total of %1 Log(s) have been deleted."
CSRF,CSRF
"Missing ecommerce parameters","Missing ecommerce parameters"
"Marketing cookies","Marketing cookies"
"Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers.","Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers."
"Preferences cookies","Preferences cookies"
"Preference cookies enable a website to remember information that changes the way the website behaves or looks, like your preferred language or the region that you are in.","Preference cookies enable a website to remember information that changes the way the website behaves or looks, like your preferred language or the region that you are in."
"Analytics cookies","Analytics cookies"
"Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously.","Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously."
"Allow sending user data to Google for advertising purposes","Allow sending user data to Google for advertising purposes"
"Sets consent for sending user data related to advertising to Google.","Sets consent for sending user data related to advertising to Google."
"Allow personalized advertising (remarketing)","Allow personalized advertising (remarketing)"
"Sets consent for personalized advertising.","Sets consent for personalized advertising."
"Logged in","Logged in"
"Logged out","Logged out"
No,No
Yes,Yes
"In stock","In stock"
"Out of stock","Out of stock"
"Missing stock data","Missing stock data"
"Shipping address cannot be found","Shipping address cannot be found"
"We have detected existing Universal Analytics tag. Skipping tag creation.","We have detected existing Universal Analytics tag. Skipping tag creation."
"Reverse transaction to Google Analytics skipped.","Reverse transaction to Google Analytics skipped."
Standard,Standard
"Using gtag.js - BETA","Using gtag.js - BETA"
None,None
Comma,Comma
"Right slash","Right slash"
"Generic consent","Generic consent"
"Segmented consent","Segmented consent"
"Hide consent widget on accept/decline","Hide consent widget on accept/decline"
"Keep sticky consent widget on accept/decline (bottom left)","Keep sticky consent widget on accept/decline (bottom left)"
"No container(s) detected (Check your Account ID)","No container(s) detected (Check your Account ID)"
"Not set (Sign in with Google first)","Not set (Sign in with Google first)"
"1 line notification to customer","1 line notification to customer"
"2 line notification to customer","2 line notification to customer"
"No notification to customer","No notification to customer"
"Dispatched same day","Dispatched same day"
"1 business day","1 business day"
"2 business days","2 business days"
"3 business dayss","3 business dayss"
"4 business days","4 business days"
"5 business days","5 business days"
"1 week","1 week"
"2 weeks","2 weeks"
"1 month","1 month"
"Center Dialog","Center Dialog"
"Bottom Right Dialog","Bottom Right Dialog"
"Bottom Left Dialog","Bottom Left Dialog"
"Top Right Dialog","Top Right Dialog"
"Top Left Dialog","Top Left Dialog"
"Bottom Tray","Bottom Tray"
ID,ID
SKU,SKU
"Assisted (depends on Optimize implemented via tag in GTM)","Assisted (depends on Optimize implemented via tag in GTM)"
"Standalone (installs/configures Optimize without GTM)","Standalone (installs/configures Optimize without GTM)"
"Set dataLayer[] impressions after Pageview","Set dataLayer[] impressions after Pageview"
"Yes, on success page","Yes, on success page"
"Yes, on placed order","Yes, on placed order"
"Excluding both Tax & Shipping","Excluding both Tax & Shipping"
"Including both Tax & Shipping","Including both Tax & Shipping"
"Including Tax but Excluding shipping","Including Tax but Excluding shipping"
"Excluding Tax but Including shipping","Excluding Tax but Including shipping"
"Excluding tax","Excluding tax"
"Including tax","Including tax"
"No throttle","No throttle"
"4.0 queries per second","4.0 queries per second"
"2.0 queries per second","2.0 queries per second"
"1.0 queries per second","1.0 queries per second"
"0.5 queries per second","0.5 queries per second"
"0.4 queries per second","0.4 queries per second"
"0.3 queries per second","0.3 queries per second"
"0.2 queries per second (Recommended)","0.2 queries per second (Recommended)"
"Grand total","Grand total"
Subtotal,Subtotal
"Google Tag Manager Account ID is not set.","Google Tag Manager Account ID is not set."
"Google Tag Manager Universal Analytics Tracking ID is not set.","Google Tag Manager Universal Analytics Tracking ID is not set."
"Google Tag Manager Container ID is not set.","Google Tag Manager Container ID is not set."
"Google Tag Manager Container ID should be numeric value.","Google Tag Manager Container ID should be numeric value."
Contact,Contact
Submit,Submit
"Submit form","Submit form"
Customer,Customer
Login,Login
Authentication,Authentication
Newsletter,Newsletter
Subscribe,Subscribe
Unsubscribe,Unsubscribe
Unlisted,Unlisted
"Add in dataLayer[]","Add in dataLayer[]"
"'Add this attribute to dataLayer[] object in events such as ' .","'Add this attribute to dataLayer[] object in events such as ' ."
"Default list","Default list"
Delete,Delete
consent_id,consent_id
log_id,log_id
-,-
"Toggle all","Toggle all"
Create,Create
Toggle,Toggle
"Make sure Container ID and Account ID are present and your account is authorised with corresponding permissions. If you don't know how to use the API, we've prepared a short video on YouTube available in 1080p","Make sure Container ID and Account ID are present and your account is authorised with corresponding permissions. If you don't know how to use the API, we've prepared a short video on YouTube available in 1080p"
"Google Tag Manager","Google Tag Manager"
"Google Tag Manager Statistics","Google Tag Manager Statistics"
"Cookie Settings","Cookie Settings"
"Essential cookies","Essential cookies"
"Learn more","Learn more"
Hide,Hide
"These cookies are essential so that you can move around the website and use its features. Without these cookies services you have asked for cannot be provided.","These cookies are essential so that you can move around the website and use its features. Without these cookies services you have asked for cannot be provided."
"Show consent details","Show consent details"
"Close consent details","Close consent details"
COOKIES,COOKIES
"Allow essential cookies","Allow essential cookies"
"Please wait...","Please wait..."
"Saved successfully","Saved successfully"
"Update Cookie Preferences","Update Cookie Preferences"
"Mixed Products","Mixed Products"
"Are you sure?","Are you sure?"
